minimum_nights,number_of_reviews,reviews_per_month,Price
2.0,3.0,0.29,180
3.0,162.0,2.15,125
3.0,25.0,2.62,400
30.0,1.0,0.11,40
2.0,0.0,0.0,280
1.0,4.0,0.07,54
3.0,20.0,0.89,110
31.0,3.0,0.19,200
5.0,8.0,0.48,66
1.0,1.0,0.05,150
3.0,17.0,0.48,153
3.0,0.0,0.0,90
2.0,287.0,3.69,399
3.0,2.0,1.13,168
1.0,92.0,4.96,70
5.0,143.0,1.38,390
30.0,0.0,0.0,350
2.0,0.0,0.0,450
2.0,2.0,0.73,228
1.0,0.0,0.0,450
5.0,1.0,0.16,98
2.0,11.0,0.57,100
2.0,46.0,0.54,49
3.0,92.0,3.4,47
1.0,0.0,0.0,80
2.0,249.0,3.63,99
2.0,0.0,0.0,35
2.0,8.0,2.29,55
3.0,31.0,1.01,45
8.0,37.0,0.5,68
1.0,13.0,8.48,250
3.0,4.0,0.53,85
3.0,0.0,0.0,100
1.0,2.0,0.08,39
1.0,1.0,0.02,125
2.0,0.0,0.0,299
5.0,14.0,0.45,230
1.0,216.0,8.07,100
1.0,34.0,0.91,69
30.0,4.0,0.31,85
6.0,0.0,0.0,100
2.0,151.0,3.46,100
2.0,2.0,0.06,150
1.0,0.0,0.0,60
3.0,150.0,3.85,99
3.0,16.0,0.52,255
3.0,2.0,1.43,260
3.0,149.0,2.33,179
3.0,7.0,2.26,90
2.0,105.0,1.13,400
4.0,29.0,3.36,230
3.0,1.0,0.04,130
1.0,1.0,0.39,100
5.0,2.0,0.05,225
7.0,0.0,0.0,90
2.0,30.0,1.62,64
2.0,30.0,1.31,45
3.0,0.0,0.0,90
1.0,0.0,0.0,75
2.0,28.0,3.98,250
30.0,0.0,0.0,27
2.0,9.0,2.37,175
7.0,5.0,0.16,35
2.0,7.0,1.93,282
2.0,2.0,0.32,57
3.0,22.0,0.4,175
1.0,49.0,2.4,120
2.0,4.0,0.3,157
3.0,0.0,0.0,480
13.0,12.0,0.58,90
21.0,0.0,0.0,73
8.0,15.0,0.19,179
1.0,38.0,6.44,99
1.0,51.0,1.05,150
1.0,6.0,0.13,73
1.0,0.0,0.0,60
5.0,1.0,0.09,170
7.0,8.0,0.64,100
1.0,0.0,0.0,70
3.0,2.0,0.04,175
3.0,67.0,0.7,170
2.0,7.0,0.13,73
7.0,1.0,0.02,70
30.0,0.0,0.0,195
30.0,6.0,0.15,99
3.0,36.0,4.37,165
1.0,25.0,0.88,145
4.0,1.0,0.05,250
1.0,1.0,0.02,74
1.0,138.0,5.31,89
7.0,1.0,0.02,50
29.0,0.0,0.0,137
6.0,5.0,0.19,400
2.0,2.0,2.0,150
1.0,203.0,2.87,139
10.0,8.0,0.17,90
1.0,42.0,5.12,38
1.0,64.0,3.59,300
1.0,8.0,0.96,33
7.0,1.0,1.0,150
1.0,24.0,1.08,150
2.0,6.0,0.92,200
2.0,1.0,0.03,149
1.0,2.0,0.1,31
1.0,5.0,0.14,599
